operator_name,country,city,cargo_aircraft_count,fleet_count,priority,enrichment_status,website,phone,address,profile_url,source,base_icao,aircraft_types
ABERDAIR AVIATION LTD,Kenya,Nairobi,1,4,medium,pending,,254 110 468286,"1ST FLOOR, F BLOCK, WILSON BUSINESS PARK, WILSON AIRPORT, P.O. BOX 705, NAIROBI, Kenya",https://www.aircharterguide.com/Operator_Info/ABERDAIR+AVIATION+LTD/98683/Nairobi/68413,ACG,HKNW,AS-350B-3 (EUROCOPTER)|HB-412EP|HB-505 (JET RANGER X)
ADVENTIST AVIATION SERVICE,Papua New Guinea,Goroka,3,3,high,pending,https://uptoadventistaviationservice.weebly.com/adventist-aviation-service.html,675 532 1264,"AIRPORT RD. (NAC GATE 13), GOROKA, Papua New Guinea, Fax: 675 532 1030",https://www.aircharterguide.com/Operator_Info/ADVENTIST+AVIATION+SERVICE/99650/Goroka/69645,ACG,AYGA,PAC 750 XL (XSTOL)
AERLINK PTY,Australia,Brisbane,2,9,medium,pending,,61 7-3621-8300,"T2 PERTH DOMESTIC AIRPORT, 1 HORRIE MILLER DRIVE, PERTH, Australia",https://www.aircharterguide.com/Operator_Info/AERLINK+PTY/100780/Brisbane/71531,ACG,YPPH,AS-ATR42-500|AS-ATR72-200|AS-ATR72-500
AERO SEAT INC,United States,Sterling,3,3,high,pending,https://www.aeroseat.com/,+17606567705; +19705201941; +19705710871; 970-571-0871,"MERTENS FIELD, 12502 RD, 27, STERLING, CO, United States",https://www.aircharterguide.com/Operator_Info/AERO+SEAT+INC/99123/Sterling/68953,ACG,KSTK,CE-180K (SKYWAGON)|PA-18 (SUPER CUB)
"AEROLINEAS SOSA, S.A.R.L.",Honduras,La Ceiba,4,9,high,pending,,504 2407 0234,"AVENIDA SIN ISIDRO FRENTE A1, PARQUE CENTRAL, LA CEIBA, Honduras","https://www.aircharterguide.com/Operator_Info/AEROLINEAS+SOSA,+S.A.R.L./1598/La+Ceiba/1764",ACG,MHLC,BAE-3100 (JETSTREAM 31)|CRJ-100 (REGIONAL JET)|SF-340|SF-340B (COMMUTER)
AFRICA CHARTER AIRLINE,South Africa,Johannesburg,6,9,high,pending,https://www.africacharterairline.com/,27 11 3953962,"HANGAR L1 SOUTH, NORTH COMPLEX 3/4 ATLAS ROAD, KEMPTON PART, GAUTENG, South Africa",https://www.aircharterguide.com/Operator_Info/AFRICA+CHARTER+AIRLINE/100587/Johannesburg/71289,ACG,FAOR,72-500|737-36N|B-737-300 (BOEING 737)|B-737-300F|B-737-400F
AIR ATLANTA,Iceland,Reykjavik,3,8,high,pending,https://airatlanta.com/,+3544584000; 354 458 4000,"VISION EXCHANGE BUILDING, TERRITORIALS STREET ZONE 1, CENTRAL BUSINESS DISTRICT, BIRKIRKARA, Malta",https://www.aircharterguide.com/Operator_Info/AIR+ATLANTA/100633/Reykjavik/71336,ACG,LMML,B-747-400|B-747-400F (BOEING)|B-777
AIR CARGO CARRIERS,United States,Warsaw,28,29,high,pending,https://www.aircargocarriers.com/,+16122663900; +18003522746; 787-791-7090,"SJU - SECTOR CENTRAL 226, CAROLINA, Puerto Rico, Fax: 414-486-5550",https://www.aircharterguide.com/Operator_Info/AIR+CARGO+CARRIERS/96260/Warsaw/65451,ACG,TJSJ,CE-208B (GRAND CARAVAN)|Phenom 100|SD3-60
AIR CHARTERS WEST,Australia,Bunbury,1,2,medium,pending,https://www.aircharterswest.com.au/,61 408 931 139,"HANGAR 43, SOUTH WEST HIGHWAY, HINKLER DRIVE, BUNBURY AIRPORT, BUNBURY, Australia",https://www.aircharterguide.com/Operator_Info/AIR+CHARTERS+WEST/99510/Bunbury/69499,ACG,YBUN,PA-31-350 (CHIEFTAIN)|PA-32R (LANCE)
AIR CHATHAMS,New Zealand,Auckland,4,12,high,pending,https://www.airchathams.co.nz/,64 9 2569370,"234 ROSEDALE ROAD, ALBANY, AUCKLAND, New Zealand",https://www.aircharterguide.com/Operator_Info/AIR+CHATHAMS/98423/Auckland/68084,ACG,NZAA,AS-350 (ASTAR)|AS-355 (TWIN SQUIRREL)|AS-ATR72|AS-ATR72-200|SF-340|SF-340A (COMMUTER)|Saab 340A|Saab 340B
