variant,origin,destination,route_text,distance_nm,payload_kg,flight_time_min,alternate
1.A,DBBB,DIAP,TYE - EBUSO - ENKIT - ARABA - DCT,435,774,156,DIYO
1.A,DIAP,DBBB,ARABA - ENKIT - EBUSO - TYE,435,883,156,DXXX
1.B,DBBB,DIAP,TYE - LM - ACC - TI - ONESI,403,827,145,DIYO
1.B,DIAP,DBBB,ONESI - TI - ACC - LM - TYE,403,935,145,DXXX
1.C,DBBB,DGAA,TYE - LM,160,1293,65,DGTK
1.C,DGAA,DIAP,TI - ONESI,226,1089,92,DIYO
1.C,DIAP,DGAA,ONESI - TI,226,1109,92,DXXX
1.C,DGAA,DBBB,LM - TYE,160,1233,65,DXXX
2.A,DBBB,FKYS,TYE - POLTO - LAG - R984 - POT - R984 - DLA - EDEBA,589,549,210,FKKD
2.A,FKYS,DBBB,EDEBA - DLA - R984 - POT - R984 - LAG - POLTO - TYE,589,617,210,DXXX
2.B,DBBB,DNPO,TYE - POLTO - LAG - R984,300,933,134,DNCA
2.B,DNPO,FKYS,R984 - DLA - EDEBA,289,1000,116,FKKD
2.B,FKYS,DNPO,EDEBA - DLA - R984,289,1000,116,DNEN
2.B,DNPO,DBBB,R984 - LAG - POLTO - TYE,300,987,134,DXXX
3.A,DIAP,GUCY,MAN - NZ - MA - J579 - KOLIP - A612 - ILGOT,608,,,GFLL
3.A,GUCY,DIAP,A612 - ILGOT - KOLIP - J579 - MA - NZ - MAN,608,,,DIYO
3.B,DIAP,GUCY,V207 - LGI - BIREL,652,464,242,GFLL
3.B,GUCY,DIAP,BIREL - LGI - V207,652,364,242,DIYO
3.C,DIAP,GLRB,B600,392,1121,144,GLMR
3.C,GLRB,GUCY,B614 - LGI - BIREL,283,1107,107,GFLL
3.C,GUCY,GLRB,BIREL - LGI - B614,283,1202,107,GLMR
3.C,GLRB,DIAP,B600,392,921,144,DIYO
4.A,GUCY,GOBD,H330 - SB - TD - A601,458,811,188,GOOY
4.A,GOBD,GUCY,A601 - TD - SB - H330,458,721,188,GFLL
4.B,GUCY,GOBD,AXIRO - KIRTI - GULAV - ABBIS - POTOX - BJ - B600 - ANITI,409,945,160,GOOY
4.B,GOBD,GUCY,ANITI - B600 - BJ - POTOX - ABBIS - GULAV - KIRTI - AXIRO,409,872,160,GFLL
4.C,GUCY,GOGS,AXIRO - KIRTI - GULAV - ABBIS - POTOX,266,1207,104,GOGG
4.C,GOGS,GOBD,BJ - B600 - ANITI,179,1364,72,GOOY
4.C,GOBD,GOGS,ANITI - B600 - BJ,179,1359,72,GOGG
4.C,GOGS,GUCY,POTOX - ABBIS - GULAV - KIRTI - AXIRO,266,1121,104,GFLL
5,FKYS,FOOL,H455,234,1184,87,FOOG
5,FOOL,FKYS,H455,234,1143,87,FKKD
6,FKYS,FKKN,H455 - BIRIX,263,968,116,FKKR
6,FKKN,FKYS,BIRIX - H455,263,1005,116,FKKD
7,GOBD,GQNO,ANITI - R975,255,936,100,GQPP
7,GQNO,GOBD,R975 - ANITI,255,1231,100,GOOY
8,DIAP,DIBK,DEGAS,165,1353,63,DIYO
8,DIBK,DIAP,DEGAS,165,1226,63,DIYO
9,DIAP,DIKO,DEGAS - BKY,265,990,102,DIYO
9,DIKO,DIAP,BKY - DEGAS,265,1040,102,DIYO
10,GQNO,GQND,DCT,259,995,95,GQPA
10,GQND,GQNO,DCT,259,1014,95,GOSS
11.A,TOUROU,DIAP,TYE - EBUSO - ENKIT - ARABA - DCT,613,425,231,DIYO
11.A,DIAP,TOUROU,ARABA - ENKIT - EBUSO - TYE,613,280,231,DBBB
11.B,TOUROU,DGAA,TYE - LM,340,949,132,DGTK
11.B,DGAA,DIAP,TI - ONESI,226,1089,87,DIYO
11.B,DIAP,DGAA,ONESI - TI,226,1211,87,DXXX
11.B,DGAA,TOUROU,LM - TYE,340,754,132,DBBB
12,TOUROU,KAINJI,DCT,117,1372,47,DNIL
12,KAINJI,TOUROU,DCT,117,1168,47,DBBB
13,DBBB,DNAA,TYE - POLTO - LAG - R778 - KELIG - W951 - MESES,365,872,130,DNKA
13,DNAA,DBBB,VONUK - H340 - LAG - POLTO - TYE,336,1030,125,DXXX
14,DBBB,DNMN,TYE - POLTO - LAG - L433 - IBA - R778 - TEGDA,331,950,131,DNAA
14,DNMN,DBBB,MAGIA - V377 - LAG - POLTO - TYE,329,1060,129,DXXX
15,DBBB,DNIL,TYE - POLTO - LAG - L433 - IBA,201,1193,80,DNIB
15,DNIL,DBBB,USGUN - V377 - LAG - POLTO - TYE,187,1214,74,DXXX
