I
1100 Version - hand-crafted sample for West Africa airways
TYE BJ 3 POLTO BJ 11 1 050 250 UN857
POLTO BJ 11 LAG NG 3 1 050 250 UN857
LAG NG 3 IBA NG 3 1 050 250 L433
IBA NG 3 TEGDA NG 11 1 050 250 R778
TEGDA NG 11 MNA NG 3 1 050 250 R778
MNA NG 3 MAGIA NG 11 1 100 250 V377
MAGIA NG 11 LAG NG 3 1 100 250 V377
LAG NG 3 USGUN NG 11 1 050 250 W951
USGUN NG 11 ILR NG 3 1 050 250 W951
LAG NG 3 KELIG NG 11 1 050 250 R778
KELIG NG 11 MESES NG 11 1 050 250 W951
MESES NG 11 ABC NG 3 1 050 250 W951
ABC NG 3 VONUK NG 11 1 100 250 H340
VONUK NG 11 LAG NG 3 1 100 250 H340
TYE BJ 3 EBUSO BJ 11 1 050 250 UA601
EBUSO BJ 11 ENKIT GH 11 1 050 250 UA601
ENKIT GH 11 ARABA CI 11 1 050 250 UA601
ARABA CI 11 BKY CI 3 1 050 250 UA601
BKY CI 3 BONTO CI 11 1 050 250 UG851
BONTO CI 11 KRG CI 3 1 050 250 UG851
99
